domain,category,files,loc
energy_market,core_python,7,420
energy_market,contract_yaml,3,20
energy_market,scenarios,2,22
energy_market,role_policies,10,76
energy_market,package_init,1,7
energy_market,total,23,545
epidemic_policy,core_python,7,427
epidemic_policy,contract_yaml,3,16
epidemic_policy,scenarios,2,26
epidemic_policy,role_policies,7,51
epidemic_policy,package_init,1,7
epidemic_policy,total,20,527
reference_stub,core_python,4,167
reference_stub,contract_yaml,2,4
reference_stub,scenarios,0,0
reference_stub,role_policies,0,0
reference_stub,package_init,1,6
reference_stub,total,7,177
