run_id,domain,round,metric,applied,authoritative,divergence
sumo_transfer_v1-109,sumo_transfer_v1,1,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-109,sumo_transfer_v1,2,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-109,sumo_transfer_v1,3,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-109,sumo_transfer_v1,4,waiting_time,5.0,4.0,1.0
sumo_transfer_v1-109,sumo_transfer_v1,5,waiting_time,14.0,13.0,1.0
sumo_transfer_v1-109,sumo_transfer_v1,6,waiting_time,25.0,24.0,1.0
sumo_transfer_v1-109,sumo_transfer_v1,7,waiting_time,58.0,59.0,-1.0
sumo_transfer_v1-109,sumo_transfer_v1,8,waiting_time,113.0,114.0,-1.0
sumo_transfer_v1-109,sumo_transfer_v1,9,waiting_time,177.0,178.0,-1.0
sumo_transfer_v1-109,sumo_transfer_v1,10,waiting_time,215.0,213.0,2.0
