round,branch,metric,value
1,applied,waiting_time,0.0
1,authoritative,waiting_time,0.0
2,applied,waiting_time,0.0
2,authoritative,waiting_time,0.0
3,applied,waiting_time,0.0
3,authoritative,waiting_time,0.0
4,applied,waiting_time,8.0
4,authoritative,waiting_time,8.0
5,applied,waiting_time,16.0
5,authoritative,waiting_time,15.0
6,applied,waiting_time,36.0
6,authoritative,waiting_time,36.0
7,applied,waiting_time,68.0
7,authoritative,waiting_time,67.0
8,applied,waiting_time,123.0
8,authoritative,waiting_time,120.0
9,applied,waiting_time,130.0
9,authoritative,waiting_time,130.0
10,applied,waiting_time,184.0
10,authoritative,waiting_time,182.0
